texto,categoria,urgencia,etiquetador,origen
¡Se inunda el #hospital! En San Andrés Tuxtla se colapsó el techo por las fuertes #lluvias y el agua en cascada cayó sobre los #pacientes.,persona_en_riesgo,alta,ricardo,real
¡URGENTE! Deslave en entrada a Fracc. Las Fuentes #Xalapa impide paso; coches derrapan. Peligro de accidentes.,deslave,media,ricardo,real
"18 alumnos se lesionaron tras desplomarse las gradas durante la foto de graduación de la Facultad de Derecho de la Universidad Veracruzana en #Xalapa, #Veracruz",persona_en_riesgo,alta,ricardo,real
A la altura de la Col 21 de Marzo hay un bloqueo....tome sus precauciones #Xalapa,otro,baja,ricardo,real
"A un costado de la avenida Lázaro Cárdenas, cerca de la SEV, se reblandeció la tierra y poste cayó.",caida_poste_cable,media,ricardo,real
Acaba de explotar un transformador en Fraccionamiento Casas Ponti en el puerto de Veracruz.,caida_poste_cable,media,ricardo,real
Accidente de tráiler sobre la carretera federal La #Tinaja–#Coatzacoalcos,otro,baja,ricardo,real
"Accidente sobre la autopista Puebla-Orizaba a la altura del km 230 aprox, pasando tramo de deslave con dirección a Puebla.",deslave,media,ricardo,real
Adulto mayor fall3c3 tras sufrir un accidente mientras conducía en #Xalapa,otro,baja,ricardo,real
Aguas con un cable caído a la mitad de la calle en Madero,caida_poste_cable,alta,ricardo,real
"Alamo Veracruz está bajo el agua, mi familia está ahí!",persona_en_riesgo,alta,ricardo,real
Apagón general de energía eléctrica en todo tierra blanca y parte de la cuenta de Papaloapan debido a una falla en las líneas y se espera estar un par de horas más con los esfuerzos de la comicion federal de electricidad para restablecerla,otro,baja,ricardo,real
"Apoyo TRANSFORMADOR EXPLOTÓ, en Guadalupe Victoria, entre Carlos Cruz y Juan Soto, Col. Centro, VERACRUZ, VER",caida_poste_cable,media,ricardo,real
"Asaltaron una farmacia ubicada en avenida de la República en la zona de Agua Santa 2, en #Xalapa.",otro,baja,ricardo,real
Atención #Xalapa! Deslave en la carretera Xalapa-Coatepec causa cierres y tráfico intenso.,deslave,media,ricardo,real
Auto volcó tras pegarle al muro de contención en autopista de #Xalapa-#Veracruz.,otro,media,ricardo,real
Automóvil se impacta con poste en M. Alemán y Juan Enríquez se recomienda evitar la zona por calle bloqueada.,caida_poste_cable,media,ricardo,real
Auxilio Auxilio fui agredida aqui en veracruz ocupo apoyo,persona_en_riesgo,alta,ricardo,real
"AUXILIO INMEDIATO! Familias en Álamo Temapache, Veracruz, atrapadas. El agua rebasa segundos pisos.",persona_en_riesgo,alta,ricardo,real
Baches muy peligrosos bajo el puente de geovillas del puerto...impiden el acceso al acotamiento. Para bajar o subir del transporte urbano.,otro,baja,ricardo,real
"Buen día, gobernadora puede mandar ayuda de rescate a los conductores de la central camioneta de poza rica están atrapados en los pisos superiores de los dormitorios y no pueden salir",persona_en_riesgo,alta,ricardo,real
"Buenas tardes reporto cable caido en la calle Luis J. Jiménez casi esquina Federico Froebel Col. Del Maestro Xalapa, Veracruz.",caida_poste_cable,media,ricardo,real
"Cable de luz energizado y suelto en calle 4 entre Sánchez Tagle y Echeven #727, #Veracruz.",caida_poste_cable,alta,ricardo,real
"Cae la barda del salón de eventos 'Los Encinos', en Ceiba esquina Tulipanes, colonia UNE PRI, #Xalapa.",dano_estructural,media,ricardo,real
"Caída de poste en la carretera 180 #Cardel - #PozaRica tramo #VegaDeAlatorre - #Naulta, como referencia a la altura de Barra de Palmas.",caida_poste_cable,media,ricardo,real
"Camión se atoró con cables y está por caer el poste de CFE, hay daños en eltransformador y quedan vulnerables los vecinos, en Velázquez de la Cadena entre Guerrero y Allende, en #Veracruz",caida_poste_cable,alta,ricardo,real
"Camión se queda sin gasolina y sin frenos, impacta poste y vivienda en Colonia Lombardo",dano_estructural,media,ricardo,real
Camioneta con placas del estado de Veracruz chocó contra poste de CFE en el Barrio de Xoloateno frente a la nueva gasolineria en Teziutlán,caida_poste_cable,media,ricardo,real
Camioneta de supermercado deriibó poste en colonia Altamira de Xalapa.,caida_poste_cable,media,ricardo,real
Camioneta volcó al chocar contra poste en la carretera Xalapa - Totutla a la altura de La Laja (Tlaltetela).,caida_poste_cable,media,ricardo,real
Caos en la autopista Puebla-Orizaba por cierre total tras el derrumbe en las Cumbres de Maltrata,deslave,media,ricardo,real
Carro en llamas sobre autopista Cardel-Veracruz.,incendio,media,ricardo,real
"Choca tractocamión en las cumbres de #Maltrata, cierran circulación hacia Mendoza",caida_poste_cable,baja,ricardo,real
"Chofer choca contra un poste y huye del lugar, sucedió en Fracc. Puente Moreno, cerca de las oficinas de la procuraduría.",caida_poste_cable,baja,ricardo,real
"Choque de auto contra poste deja vehículos dañados y hay un hombre herido, en #Xalapa.",persona_en_riesgo,alta,ricardo,real
"Choque de auto contra poste deja vehículos dañados y un hombre herido, en #Xalapa.",persona_en_riesgo,alta,ricardo,real
"Cierre de vialidad, por derrumbe, sobre la Carretera Xalapa-Naolinco, a la altura de la desviación a El Zacatal, en la Localidad El Órgano.",deslave,media,ricardo,real
Cierre en la autopista #Puebla-#Veracruz por deslave en Cumbres de Maltrata,deslave,media,ricardo,real
Cierre total en la carretera #Orizaba-#Tehuacán por fuerte accidente vial,otro,media,ricardo,real
"Cierre total por deslave de talud en km 231 autopista Puebla - Orizaba, dirección Puebla. Alternativa: km 263, desvío a Carretera libre, a la altura de Nogales.",deslave,media,ricardo,real
Colapsa poste de voladores de Papantla al norte de   #Veracruz; caen de 10 metros de altura,caida_poste_cable,alta,ricardo,real
CONDUCTOR CAE EN ZANJA DE OBRA ABANDONADA DESDE HACE 8 MESES EN PALMA REAL,otro,alta,ricardo,real
"Un hombre perdió la vida la madrugada de este sábado en Coatzacoalcos, tras ser arrastrado por una corriente pluvial.",inundacion,baja,ricardo,real
Derrumbe en la carretera Orizaba-Zongolica bloquea impide acceso a la sierra,deslave,media,ricardo,real
"Derrumbe en la colonia Santa Rosa, en #Xalapa.",deslave,media,ricardo,real
"Derrumbe en la zona del deslave de #CumbresDeMaltrata km 231, el operador de la maquinaria resultó lesionado.",persona_en_riesgo,alta,ricardo,real
"Derrumbe y socavón en la carretera de Chiltoyac, informando Comunicación Social de Xalapa.",deslave,media,ricardo,real
DESCARRILAMIENTO EN CÓRDOBA DEJA MILES DE TONELADAS EN EL SUELO,otro,media,ricardo,real
Deslave afecta la vialidad de manera parcial en la carretera #Atzalan - #Tlapacoyan la altura de Arroyo Colorado.,deslave,media,ricardo,real
"Deslave en ""Casas del Bienestar"" de Veracruz expone presuntas fallas en la construcción",deslave,baja,ricardo,real
"Deslave en el Fraccionamiento Valle Real en #Xalapa, producto de las intensas lluvias presentadas en el estado de #Veracruz  por los remanentes del sistema #Erick",deslave,media,ricardo,real
"Deslave provocó el cierre total de la circulación cerca del km 000+700 de la carretera La Tinaja–Cosoleacaque, afectando el paso hacia el sureste del país.",deslave,media,ricardo,real
Dos adultos mayores quedaron atrapados dentro de un elevador en el hospital de alta especialidad del ISSSTE en Veracruz,persona_en_riesgo,alta,ricardo,real
"Dos ancianos se resguardan en un auto maceta en la avenida J. B. Lobos, a un costado de Panadería Especial. A su casa se le voló el techo de lamina",persona_en_riesgo,alta,ricardo,real
"Dos personas murieron en #Xalapa debido a un deslave en la colonia Luis Donaldo Colosio, provocado por las lluvias que dejó el huracán Katia",persona_en_riesgo,baja,ricardo,real
"El basurero a cielo abierto de Veracruz que se está incendiando y con los vientos del norte, está afectando la ciudad de #Veracruz",incendio,media,ricardo,real
El canal de aguas negras que circula sobre la carretera #Xalapa - #Veracruz a la altura de Plaza Animas se desbordó,inundacion,media,ricardo,real
El nivel del Río cazones sigue subiendo,inundacion,media,ricardo,real
"El río La Palma se desbordó en Catemaco, Veracruz, afectando 15 viviendas",otro,media,ricardo,real
Empleados de limpia pública golpean a una persona en Xalapa.,otro,media,ricardo,real
"En este momento está bloqueada la autopista Minatitlán - Acayucan, a la altura del Km 24 , en el municipio de Jáltipan.",otro,media,ricardo,real
"En la carretera Xalapa dirección  a Coatepec hay un deslave antes de llegar a la Plaza Orquídeas, que inhabilita uno de los carriles",deslave,media,ricardo,real
"En la colonia  21 de abril (calle 1) veracruz, ver. estamos sin luz nuevamente @CFEmx  hace caso omiso a cambiar ese transformador, por favor  @televertv ayuda!!",otro,media,ricardo,real
