texto,categoria,urgencia,etiquetador,origen
"Hay un cable haciendo cchispas a un lado del OXXO, la gente pasa junto",caida_poste_cable,alta,generador_sintetico,sintetico
"Se desprendio un pedazo de aplanado atras de la secundaria, cosa menor",dano_estructural,baja,generador_sintetico,sintetico
Se cayó un posste con los cables encima de la banqueta en Madero y hay niños jugando cerca,caida_poste_cable,alta,generador_sintetico,sintetico
"Una señora se cayo frente a la gasolinera y no se puede levantar, esta herida",persona_en_riesgo,alta,generador_sintetico,sintetico
Cayó un derrumbe a un lado del OXXO y hay un carro con personas debajo,deslave,alta,generador_sintetico,sintetico
"cayó un derrumbe frente al mercado y hay un carro con personas debajo, urge apoyo",deslave,alta,generador_sintetico,sintetico
"Un transformador explotó en El Palmar y los cablees quedaron en la calle donde pasan carros, ya nadie sabe qué hacer",caida_poste_cable,alta,generador_sintetico,sintetico
"Cayo un derrumbe cerca de la iglesia y hay un carro con personas debajo, es en serio",deslave,alta,generador_sintetico,sintetico
El muro de una vivienda en La Palma se botó y hay personas adentro,dano_estructural,alta,generador_sintetico,sintetico
"se ahoga alguien en el arroyo de los pinos, vengan rápido, no sé a quién más avisar",persona_en_riesgo,alta,generador_sintetico,sintetico
"Hay un incendio en un pastizal en las afueras de Las Brisas, lejos de las casas",incendio,media,generador_sintetico,sintetico
"Se cayo un poste de luz en Buenavista, en un terreno baldio, no hay nadie cerca",caida_poste_cable,media,generador_sintetico,sintetico
"mi abuelita está atrapada en san rafael, necesita su oxígeno y se fue la luz",persona_en_riesgo,alta,generador_sintetico,sintetico
"Un niño fue arrastrado por la corriente atrás de la secundaria, ayuda  por favor",persona_en_riesgo,alta,generador_sintetico,sintetico
Hay mucha basura acumulada en la esquina de la farmacia por la lluvia de ayyer,otro,baja,generador_sintetico,sintetico
"Hay un incendio en un negocio de Colinas de Santa Fe y hay gente en el edificio de arriba, manden a alguien porfa",incendio,alta,generador_sintetico,sintetico
"Se desprendio un pedazo de aplanado cerca de la iglesia, cosa menor",dano_estructural,baja,generador_sintetico,sintetico
"El techo de la bodega cerca del parque se dañó con la lluvia y gotea feo, ya nadie sabe ué hacer",dano_estructural,media,generador_sintetico,sintetico
"El poste de Zaragoza está un poco inclinado, quería reportarlo por si acaso",caida_poste_cable,baja,generador_sintetico,sintetico
Se está deslavand el cerro arriba de las casas en Playa Linda y la gente sigue adentro,deslave,alta,generador_sintetico,sintetico
Se desbordó el canal de El Zapote y la calle 16 de Septiembre está bajo el agua,inundacion,media,generador_sintetico,sintetico
"Un deslave tapó el camino a El Palmar, no hay paso pero nadie quedó atrapado",deslave,media,generador_sintetico,sintetico
Se cayó un poste con los cables encima de la banqueta en Zaragoza y hay niños jugando cerca,caida_poste_cable,alta,generador_sintetico,sintetico
"Hay cables colgando muy bajo en la calle Morelos frente al mercado, manden a alguien porfa",caida_poste_cable,media,generador_sintetico,sintetico
"Quedaron unas piedras en el camino de El Zapote después de la lluvia, no sé a quién más avisar",deslave,baja,generador_sintetico,sintetico
"Un poste quedó chueco después del norrte en Río Medio, se ve que se va a caer, no sé a quién más avisar",caida_poste_cable,media,generador_sintetico,sintetico
"Se derrumbó el talud de la calle Maddero, hay tierra en toda la vía",deslave,media,generador_sintetico,sintetico
"Se deslavó un poco de tierra frente a la gasolinera, nada grave pero por i quieren revisar, es en serio",deslave,baja,generador_sintetico,sintetico
Un transformador explotó en Villa Rica y los cables quedaron en la calle donde pasan carros,caida_poste_cable,alta,generador_sintetico,sintetico
"se cayó una barda por el aire en la callle independencia, bloquea el paso",dano_estructural,media,generador_sintetico,sintetico
"se quema el pastizal atras de la secundaria y el fuego va hacia las casas, ya nadie sabe que hacer",incendio,alta,generador_sintetico,sintetico
"Se esta deslavando el cerro arriba de las casas en Playa Linda y la gente sigue adentro, manden a alguien porfa",deslave,alta,generador_sintetico,sintetico
"Cayó un derrumbe cerca de la iglesia y hay un carro con personas debajo, es en serio",deslave,alta,generador_sintetico,sintetico
"se cayo una barda por el aire en la calle 5 de mayo, bloquea el paso",dano_estructural,media,generador_sintetico,sintetico
"Cayó material del cerro en La Loma, bloqueó media calle, es en serio",deslave,media,generador_sintetico,sintetico
