texto,categoria,urgencia,origen
"Dos ancianos se resguardan en un auto maceta en la avenida J. B. Lobos, a un costado de Panadería Especial. A su casa se le voló el techo de lamina",dano_estructural,media,real
"Poste de CFE a punto de caer, en carretera Veracruz-Xalapa a la altura de la Fiscalía.",caida_poste_cable,media,real
"En la colonia 27 de septiembre en Veracruz, se desbordó una chapopotera en la calle Guadalupe Victoria y soltó petróleo crudo",deslave,media,real
CAOS EN DÍAZ MIRÓN: CHOQUE TERMINA CONTRA TRANSFORMADOR DE CFE  Y DEJA DOS HERIDOS,persona_en_riesgo,alta,real
LLUVIA DEJA 31 MUERTOS Y POZA RICA INUNDADA EN VERACRUZ,persona_en_riesgo,alta,real
"Las intensas lluvias en Poza Rica provocaron el desbordamiento del río Cazones, dejando calles, autos y viviendas completamente inundadas. La zona de Las Granjas es una de las más afectadas, donde familias enteras tuvieron que ser evacuadas de emergencia.",inundacion,alta,real
Se derrumbó cerro Petlacala en carretera de San Andrés Tenejapan.,deslave,media,real
Tránsito detenido en Lázaro Cárdenas por accidente frente a Sams,otro,baja,real
"Nos dijeron que no había riesgo, que todo estaba bajo control. Hoy muchos perdimos todo, incluso a nuestros animales",otro,media,real
"Inundada totalmente la carretera federal México-Veracruz,  a la altura de la Unidad Deportiva de Calpulalpan.  No hay paso",inundacion,baja,real
"Fuertes escenas se registraron durante una balacera en Orizaba Veracruz Al rededor de las 5 de la tarde de este lunes, se registró una intensa balacera a la altura de la Oriente 4 y Sur 15 en la ciudad de Orizaba. Ciudadanos que circulaban por la zona y comerciantes se resguardaron y bajaron cortinas de negocios, alumnos de escuelas cercanas también se alertaron y corrieron a resguardarse.",otro,alta,real
Logran salvar ojo a hombre herido en Soriana Floresta Una riña entre dos automovilistas terminó con un lesionado por arma blanca en Veracruz. Según testigos todo inició cuando el conductor de un automóvil le ganó el estacionamiento a otro que estaba buscando lugar,otro,alta,real
"Un fuerte incendio, presuntamente originado tras una explosión, se registró en un departamento ubicado en el clúster Palma de Abanico, dentro de un conjunto habitacional en el puerto de Veracruz, dejando un saldo de al menos seis personas L3S10N4D4S, entre ellas varios menores de edad.",persona_en_riesgo,alta,real
