texto,categoria_correcta,urgencia_correcta,por_que
"Se metió el agua a mi casa en la colonia Las Brisas, ya nos llega a la rodilla",inundacion,media,"Agua dentro de vivienda pero sin persona atrapada"
"El agua ya cubrió el primer piso y estamos toda la familia arriba en el techo esperando",persona_en_riesgo,alta,"Personas incomunicadas por el agua, en peligro inmediato"
"La avenida Díaz Mirón está totalmente inundada, no pasan los carros",inundacion,media,"Daño material, sin personas en peligro"
"Hay una señora mayor atrapada dentro de su casa y el agua sigue subiendo",persona_en_riesgo,alta,"Persona vulnerable atrapada"
"Se cayó un poste de luz y los cables quedaron sobre la banqueta donde pasa la gente",caida_poste_cable,alta,"Cable energizado en vía transitada"
"Un poste se cayó en la madrugada en una calle cerrada, no hay nadie cerca",caida_poste_cable,media,"Riesgo eléctrico pero sin personas expuestas"
"Hay un cable chispeando en plena avenida y hay niños jugando cerca",caida_poste_cable,alta,"Contacto eléctrico posible con población vulnerable"
"Se vino un deslave en el cerro y tapó el camino a la comunidad",deslave,media,"Bloqueo de camino, sin viviendas ni personas mencionadas"
"Se está deslavando el cerro arriba de las casas y la gente sigue adentro",deslave,alta,"Deslave en curso sobre viviendas habitadas"
"Se está incendiando la casa de junto, hay mucho humo",incendio,media,"Fuego activo pero no se menciona persona adentro"
"Se quema la casa de la esquina y dicen que hay alguien adentro",persona_en_riesgo,alta,"Regla de desempate: persona en peligro manda sobre incendio"
"Hubo un conato de incendio en el basurero pero los vecinos ya lo apagaron",incendio,baja,"Situación ya controlada"
"Se cayó una barda por el aire y bloquea la entrada de la casa",dano_estructural,media,"Daño estructural sin fuego ni deslave, sin personas heridas"
"Hay una grieta enorme en el muro de la casa y se está abriendo más",dano_estructural,media,"Daño en desarrollo, sin personas expuestas aún"
"Quiero avisar que salió una grieta chica en la barda del patio",dano_estructural,baja,"Daño menor, informativo, sin escalamiento"
"El techo de la bodega se colapsó con la lluvia y había trabajadores adentro",persona_en_riesgo,alta,"Colapso con personas dentro, peligro inmediato"
"¿A qué hora reabren el albergue de la colonia Formando Hogar?",otro,baja,"Consulta informativa, sin riesgo"
"Se fue la luz en toda la colonia desde hace dos horas",otro,baja,"Aviso vago, no hay poste ni cable caído reportado"
"Está feo esto por acá, manden ayuda por favor",otro,media,"Solicitud sin señales concretas, precaución"
"Un niño fue arrastrado por la corriente en el arroyo, ayuda urgente",persona_en_riesgo,alta,"Persona arrastrada por la corriente"
"Se está inundando la calle frente a la primaria y son las 10 de la mañana",inundacion,alta,"Exposición previsible de menores en horario de clases (principio rector)"
