"Marca temporal","1. ¿Has vivido o presenciado una emergencia en tu localidad?","2. ¿Qué tipo de emergencia? (puedes marcar varias)","3. ¿Reportaste o intentaste reportar la emergencia?","4. Si reportaste, ¿por qué medio? (puedes marcar varias)","5. ¿Qué fue lo más difícil o frustrante al pedir o dar aviso de ayuda?","6. ¿Supiste si tu reporte fue recibido o atendido?","7. ¿Qué tan seguro/a estabas de que la ayuda llegaría a tiempo?","8. ¿Qué te habría gustado que pasara con tu reporte?","9. Si pudieras pedir UNA cosa a un sistema que recibe estos reportes, ¿cuál sería?"
"2026/07/14 9:40:56 a. m. GMT-6","Sí","Inundación;Caída de poste o cable;Persona en riesgo (atrapada/herida)","Lo intenté pero no pude","Llamada al 911","Que no se atendió mi solicitud","No supe nada","1","Que le dieran prioridad de atención.","Que me indicará si mi reporte tiene prioridad o en que estatus esta."
"2026/07/14 9:49:03 a. m. GMT-6","Sí","Otro","No lo reporté","No reporté","","No reporté","1","Notificar seguimientos","Fácil acceso para reportes inmediatos"
"2026/07/14 9:51:31 a. m. GMT-6","Sí","Inundación","No lo reporté","No reporté","","No reporté","","No reporté","No reporté"
"2026/07/14 9:53:35 a. m. GMT-6","Sí","Otro","Lo intenté pero no pude","Llamada al 911","Tiempo de espera","No supe nada","2","Respuesta certera","Educación y orientación para saber a quien llamar exactamente y no te difieren la llamada por el tiempo de espera "
"2026/07/14 10:00:41 a. m. GMT-6","Sí","Inundación;Otro","Sí, lo reporté","Llamada al 911;Redes sociales (Facebook / X);WhatsApp","Que no contestan en tiempo y forma ","Sí, me confirmaron","1","Que lo atendieran rápido porque se trataba de una emergencia ","Que tengan otros medios de comunicación donde no se sature rápido para comunicarse "
"2026/07/14 10:06:06 a. m. GMT-6","Sí","Deslave;Caída de poste o cable","Lo intenté pero no pude","En persona / con una autoridad","No encontrar ayuda, o a quien informarle la emergencia. ","Sí, me confirmaron","4","Nada, sí se dio seguimiento. ","Que la respuesta sea pronta. "
"2026/07/14 10:06:25 a. m. GMT-6","Sí","Persona en riesgo (atrapada/herida)","Sí, lo reporté","Llamada al 911","No contestaban las llamadas","Sí, me confirmaron","2","Tener actualizaciones sobre el movimiento de la ayuda","seguimiento"
"2026/07/14 10:09:31 a. m. GMT-6","Sí","Incendio","Sí, lo reporté","Llamada al 911","La lentitud con la que atienden y piden datos.","Sí, me confirmaron","1","Una respuesta mas ágil y rápida ","Una forma mas eficiente y rápida de gestionar las llamadas y reportes de emergencia con una pronta respuesta."
"2026/07/14 10:11:21 a. m. GMT-6","Sí","Otro","Lo intenté pero no pude","Llamada al 911","tiempo de espera ","No reporté","2","Seguimiento al reporte y atención de acuerdo a la necesidad","notificación de seguimiento "
"2026/07/14 10:14:22 a. m. GMT-6","No","Persona en riesgo (atrapada/herida)","Sí, lo reporté","Llamada al 911","El tiempo de respuesta","Sí, me confirmaron","2","Atención más rápida y seguimiento","Seguimiento a reportes de violencia intrafamiliar y maltrato animal"
"2026/07/14 10:15:54 a. m. GMT-6","Sí","Caída de poste o cable","Lo intenté pero no pude","Llamada al 911","Pues de que no vinieran, a persar de que se solicitó ayuda","Sí, me confirmaron","1","Lo hubieran atendido más rapido","Que indiquen sinceramente cuando van a ir"
"2026/07/14 10:16:02 a. m. GMT-6","Sí","Caída de poste o cable","No lo reporté","","","No reporté","","Poder ver el estado en tiempo teal","Monitoreo de la cuadrilla asignada a la resolución del incidente"
"2026/07/14 10:19:48 a. m. GMT-6","Sí","Incendio;Persona en riesgo (atrapada/herida);Otro","Sí, lo reporté","Llamada al 911;WhatsApp","El tiempo de respuesta, la demora para la atención","No supe nada","3","Que se hubiera resuelto o atendido con mayor rapidez, que dieran mas retroalimentacion","Retroalimentación para poder dar seguimiento"
"2026/07/14 10:27:29 a. m. GMT-6","Sí","Inundación","Sí, lo reporté","En persona / con una autoridad","Ver cómo todo se inundaba y no poder hacer nada ","Sí, me confirmaron","5","Más gente reportando ","Más ayuda "
"2026/07/14 10:32:50 a. m. GMT-6","Sí","Persona en riesgo (atrapada/herida)","Lo intenté pero no pude","Llamada al 911","El tiempo","No supe nada","1","Seguimiento ","Respuesta rápida "
"2026/07/14 10:33:27 a. m. GMT-6","Sí","Deslave","Sí, lo reporté","Otro","El tiempo de respuesta ","Sí, me confirmaron","1","Una atención más rápida ","Conocer en tiempo real del tiempo de respuesta/atención por parte del personal de protección civil "
"2026/07/14 10:37:28 a. m. GMT-6","No","Otro","No lo reporté","No reporté","","No reporté","1","No he vivido situaciones así ","Agilidad "
"2026/07/14 10:37:42 a. m. GMT-6","Sí","Inundación;Deslave;Incendio;Caída de poste o cable;Persona en riesgo (atrapada/herida);Otro","No lo reporté","No reporté","La mayor parte de las veces ya se había solicitado ayuda","No reporté","","Seguimiento de algún tipo, notificación, correo, WhatsApp sea de atención o de cierre","A las personas normalmente les gusta recibir un seguimiento de su acción, por lo que un mensaje como 'La policía / patrulla / bomberos / protección civil ya se encuentra en sitio' ayuda con la ansiedad generada por el suceso"
"2026/07/14 10:39:19 a. m. GMT-6","No","Otro","Sí, lo reporté","Llamada al 911","Que me tomaran la llamada. ","Sí, me confirmaron","4","Que lo atendieran al momento ","Que se diera seguimiento a los reportes "
"2026/07/14 10:41:28 a. m. GMT-6","Sí","Inundación;Incendio;Caída de poste o cable","No lo reporté","No reporté","","No reporté",""," "," "
"2026/07/14 10:42:09 a. m. GMT-6","Sí","Inundación;Caída de poste o cable","Sí, lo reporté","Llamada al 911","El tiempo de respuesta","Sí, me confirmaron","3","Que se resolviera","Respuesta y canalización rápida "
"2026/07/14 10:42:46 a. m. GMT-6","Sí","Inundación","No lo reporté","No reporté","","No reporté","1","Que atendieran la emergencia","Aviso a las autoridades y atención por nivel de emergencia "
"2026/07/14 10:43:24 a. m. GMT-6","Sí","Incendio;Caída de poste o cable;Persona en riesgo (atrapada/herida)","Sí, lo reporté","Llamada al 911","Los detalles de la ubicación y referencias, tardan mucho en identificar la zona. Y la otra, solo limitarse a decir que ya tenían un reporte y estaban buscando una unidad que pudiera atender.","No supe nada","1","Que dieran seguimiento y verificaran que se atendió el reporte, es decir búsqueda de una confirmación por parte del denunciante.","Sitio donde sea visible el Seguimiento del reporte "
"2026/07/14 10:44:06 a. m. GMT-6","Sí","Caída de poste o cable","No lo reporté","No reporté","El tiempo de espera ","No reporté","2","Que fuera respuesta inmediata","
."
"2026/07/14 10:44:46 a. m. GMT-6","Sí","Inundación","No lo reporté","No reporté;Otro","No reporté","No reporté","","En dado caso, que se atendiera","Tiempo estimado de llegada o de atención al reporte"
"2026/07/14 10:46:30 a. m. GMT-6","Sí","Otro","Sí, lo reporté","Llamada al 911","El arbol de afuera de nuestro edificio se estaba comenzando a incendiar por el contacto de una rama con el cable de luz, me dijeron que como aún no había nadie en riesgo, atenderian otras prioridades y fue súper frustrante por que justo queriamos evitar ponernos en riesgo.","Sí, me confirmaron","1","Que me dijeran como me podían apoyar, cual sería el seguimiento y los tiempos.","Tener claridad de como trabajan para no estar adivinando si me atenderán o no."
"2026/07/14 10:46:52 a. m. GMT-6","Sí","Inundación","Sí, lo reporté","Llamada al 911","Lo tardado que llegan las autoridades en llegar a la zona ","No supe nada","2","Que se notará un seguimiento de las autoridades y más retroalimentación del estado del reporte","Notificaciones del seguimiento "
